,group,datetime,date,time,cycle_full_gr,status,gr_status
215,2,2023-05-16 09:50:25+07:00,2023-05-16,09:50:00,108,stop,2_stop
216,2,2023-05-16 20:33:46+07:00,2023-05-16,20:35:00,109,start,2_start
217,2,2023-05-16 21:16:38+07:00,2023-05-16,21:15:00,109,stop,2_stop
218,2,2023-05-17 00:03:39+07:00,2023-05-17,00:05:00,110,start,2_start
219,2,2023-05-17 01:03:09+07:00,2023-05-17,01:05:00,110,stop,2_stop
220,2,2023-05-17 08:44:33+07:00,2023-05-17,08:45:00,111,start,2_start
221,2,2023-05-17 09:34:09+07:00,2023-05-17,09:35:00,111,stop,2_stop
222,2,2023-05-17 15:44:37+07:00,2023-05-17,15:45:00,112,start,2_start
223,2,2023-05-17 17:21:04+07:00,2023-05-17,17:20:00,112,stop,2_stop
224,2,2023-05-18 04:00:49+07:00,2023-05-18,04:00:00,113,start,2_start
225,2,2023-05-18 05:37:05+07:00,2023-05-18,05:35:00,113,stop,2_stop
226,2,2023-05-18 17:30:39+07:00,2023-05-18,17:30:00,114,start,2_start
227,2,2023-05-18 19:01:03+07:00,2023-05-18,19:00:00,114,stop,2_stop
228,2,2023-05-19 04:10:43+07:00,2023-05-19,04:10:00,115,start,2_start
229,2,2023-05-19 05:43:23+07:00,2023-05-19,05:45:00,115,stop,2_stop
230,2,2023-05-19 16:36:19+07:00,2023-05-19,16:35:00,116,start,2_start
231,2,2023-05-19 18:14:34+07:00,2023-05-19,18:15:00,116,stop,2_stop
232,2,2023-05-20 04:13:54+07:00,2023-05-20,04:15:00,117,start,2_start
233,2,2023-05-20 05:24:48+07:00,2023-05-20,05:25:00,117,stop,2_stop
234,2,2023-05-20 15:45:02+07:00,2023-05-20,15:45:00,118,start,2_start
235,2,2023-05-20 17:13:55+07:00,2023-05-20,17:15:00,118,stop,2_stop
236,2,2023-05-21 03:57:38+07:00,2023-05-21,04:00:00,119,start,2_start
237,2,2023-05-21 05:25:48+07:00,2023-05-21,05:25:00,119,stop,2_stop
238,2,2023-05-21 16:04:30+07:00,2023-05-21,16:05:00,120,start,2_start
239,2,2023-05-21 17:31:16+07:00,2023-05-21,17:30:00,120,stop,2_stop
240,2,2023-05-22 03:59:22+07:00,2023-05-22,04:00:00,121,start,2_start
241,2,2023-05-22 05:37:45+07:00,2023-05-22,05:40:00,121,stop,2_stop
242,2,2023-05-22 19:00:58+07:00,2023-05-22,19:00:00,122,start,2_start
243,2,2023-05-22 20:36:23+07:00,2023-05-22,20:35:00,122,stop,2_stop
244,2,2023-05-23 18:04:17+07:00,2023-05-23,18:05:00,123,start,2_start
245,2,2023-05-23 19:17:22+07:00,2023-05-23,19:15:00,123,stop,2_stop
246,2,2023-05-24 18:41:24+07:00,2023-05-24,18:40:00,124,start,2_start
247,2,2023-05-24 19:41:38+07:00,2023-05-24,19:40:00,124,stop,2_stop
248,2,2023-05-25 18:56:14+07:00,2023-05-25,18:55:00,125,start,2_start
249,2,2023-05-25 20:13:28+07:00,2023-05-25,20:15:00,125,stop,2_stop
250,2,2023-05-26 16:21:06+07:00,2023-05-26,16:20:00,126,start,2_start
251,2,2023-05-26 18:00:41+07:00,2023-05-26,18:00:00,126,stop,2_stop
252,2,2023-05-27 20:12:00+07:00,2023-05-27,20:10:00,127,start,2_start
253,2,2023-05-27 21:25:28+07:00,2023-05-27,21:25:00,127,stop,2_stop
254,2,2023-05-28 20:29:14+07:00,2023-05-28,20:30:00,128,start,2_start
255,2,2023-05-28 21:54:46+07:00,2023-05-28,21:55:00,128,stop,2_stop
256,2,2023-05-29 20:37:26+07:00,2023-05-29,20:35:00,129,start,2_start
